,name,product_url,query_url,review_url,rating,review_title,review
0,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Must buy!,Awesome phone Excellent camera quality
1,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Best in the market!,Best phone available at this price point.Camera is comparable with entry level DSLR(marvellous dynamic range)The performance is unmatchable.Shifted to iOS after 10 years of premium android smartphones.Go  for it without any second thought.
2,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Perfect product!,Love this phone..... 😍
3,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,4,Nice product,Best phone for day to day use and photography/videography.
4,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Terrific,Happy to have this phone
5,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Worth every penny,Awesome camera..I m love  it
6,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Awesome,Best of best
7,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Just wow!,Best phone in recent times I have used in my life
8,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Fabulous!,Nice product
9,"APPLE iPhone 13 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://flipkart.dvishal485.workers.dev/product/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c,https://www.flipkart.com/apple-iphone-13-blue-128-gb/product-reviews/itm6c601e0a58b3c,5,Classy product,This is awosome .. camera is best . Here some photos i m sharing with you guys ..
